时间,交易所委托号,委托类型,委托代码,委托价格,委托数量
92225650,304479,0,S,184500,1000
92227330,304923,0,S,174500,200
92233250,306496,0,S,174500,2500
92240390,308514,0,S,173900,1300
92248670,310871,0,S,175000,300
92302340,314729,0,S,174500,100
92302650,314821,0,S,173500,200
92304850,315407,0,S,138200,700
92309100,316594,0,S,175500,500
92317230,319083,0,S,174400,100
92327480,322228,0,S,168000,100
92330750,323317,0,S,174500,200
92331720,323660,0,S,174500,1000
92347560,329007,0,S,174100,300
92400360,333514,0,S,174100,400
92400750,333703,0,S,182900,1700
92405780,335689,0,S,171500,200
92406020,335801,0,S,172400,5300
92408100,336596,0,S,173000,5000
92410830,337737,0,S,170000,200
92411810,338141,0,S,171800,5800
92417540,340770,0,S,138200,100
92419940,341892,0,B,162500,300
92421370,342627,0,B,174100,1200
92421590,342742,0,S,170000,300
92425240,344534,0,B,175700,100
92432440,348291,0,B,174800,100
92432990,348607,0,S,170000,4800
92433620,348975,0,S,172000,7600
92435650,350204,0,B,170500,100
92435700,350253,0,S,180000,10000
92441230,353560,0,S,171000,2300
92442190,354177,0,S,172400,1000
92449610,358542,0,S,173000,600
92450020,359262,0,B,175400,300
92450320,360082,0,S,171800,8400
92450330,360114,0,B,175400,200
92450440,360288,0,S,172000,1000
92450660,360590,0,S,169000,1000
92450960,360933,0,B,175400,400
92452270,362038,0,B,170700,1000
92453950,363941,0,B,175200,100
92454110,364176,0,B,175200,100
92454760,364983,0,B,176300,100
92454810,365045,0,S,171700,200
92454900,365133,0,S,171700,200
92455160,365550,0,S,154700,3900
92455350,365839,0,S,171800,2000
92455460,365988,0,B,174500,2000
92456220,367272,0,B,175100,500
92456230,367304,0,B,175100,800
92456260,367390,0,B,175100,200
92456300,367586,0,B,175100,600
92456570,368350,0,S,189900,200
92457440,369854,0,S,170600,2000
92457500,369967,0,B,180000,300
92458680,371988,0,S,170900,2800
92458860,372436,0,B,173100,3400
92459230,373414,0,B,174700,500
92459500,373877,0,S,169200,500
92459530,373971,0,B,173500,200
92459610,374233,0,B,173100,500
92600000,0, , ,0,0
93000020,426297,0,B,171400,100
93000020,426345,0,B,171400,100
93000020,426445,0,B,171400,100
93000020,427626,0,B,170800,100
93000020,427699,0,B,171400,100
93000020,427794,0,B,170800,300
93000020,427929,0,B,173500,700
93000020,428234,0,B,170800,600
93000030,428325,0,B,171800,200
93000030,428328,0,B,171800,300
93000030,428489,0,B,171400,100
93000030,428893,0,B,171400,300
93000030,429384,0,B,171400,100
93000030,429513,0,B,170800,100
93000030,429970,0,B,171400,100
93000030,430134,0,B,170800,400
93000030,430292,0,B,172700,1600
93000030,430383,0,B,170800,700
93000030,430412,0,B,170800,100
93000030,430598,0,B,171400,100
93000030,430674,0,B,171400,100
93000030,430688,0,B,170800,100
93000030,430690,0,B,170800,100
93000030,430931,0,S,176700,400
93000030,431051,0,B,171400,100
93000030,431207,0,B,170800,100
93000030,431463,0,B,170800,100
93000030,432189,0,B,171400,100
93000030,432586,0,B,170700,300
93000030,433109,0,B,170800,5900
93000030,433690,0,B,171900,11600
93000030,433893,0,B,171400,100
93000030,434267,0,B,170200,1100
93000030,434404,0,B,170800,300
93000030,434620,0,B,171400,100
93000030,434697,0,B,171400,100
93000030,435187,0,B,171400,100
93000030,435258,0,S,171800,2600
93000030,435611,0,B,170700,200
93000040,435999,0,B,171400,100
93000040,436209,0,B,171400,100
93000040,436387,0,B,171400,100
93000040,436621,0,B,171400,100
93000040,438209,0,B,170800,100
93000040,438248,0,B,171400,100
93000040,438732,0,S,175800,1000
93000040,438820,0,B,171400,100
93000040,438830,0,B,171400,100
93000040,439204,0,B,171400,100
93000040,440176,0,S,175000,10000
93000040,440524,0,B,170300,200
93000050,442061,0,B,171400,600
93000050,442270,0,B,171400,100
93000050,442651,0,B,171800,400
93000050,442694,0,B,171800,300
93000050,442775,0,B,171800,100
93000050,443188,0,S,170400,100
93000050,443362,0,B,171800,100
93000050,443414,0,B,171800,200
93000050,443448,0,B,171800,400
93000050,443460,0,B,166500,500
93000050,443730,0,B,171400,100
93000050,443752,0,B,171400,100
93000050,443853,0,B,165300,500
93000050,444094,0,B,171800,500
93000050,444377,0,B,171800,100
93000050,445028,0,B,171400,100
93000050,445099,0,B,171400,100
93000050,445296,0,B,171400,100
93000060,446747,0,B,171400,600
93000060,447885,0,B,171400,100
93000060,448625,0,B,171400,600
93000060,449521,0,B,171400,100
93000060,449558,0,B,171400,100
93000070,451990,0,B,171800,600
93000070,451991,0,B,171800,400
93000070,452071,0,B,171400,600
93000070,452194,0,S,174800,300
93000070,452890,0,B,170400,700
93000080,453531,0,B,171800,100
93000080,453788,0,B,172900,200
93000080,454558,0,S,171600,1000
93000080,454628,0,B,171800,400
93000080,455461,0,B,171800,300
93000080,455483,0,B,171800,100
93000080,457156,0,B,171800,200
93000080,457260,0,S,171700,4000
93000080,457818,0,S,171700,900
93000090,459143,0,B,171800,2500
93000090,459574,0,B,171400,100
93000090,461852,0,B,171400,100
93000100,462736,0,B,171400,100
93000100,462744,0,B,171400,100
93000100,465049,0,S,171600,4200
93000100,466058,0,B,171800,1700
93000100,466060,0,B,171800,100
93000100,466186,0,B,171800,100
93000100,466188,0,B,171800,200
93000100,466190,0,B,171800,400
93000100,466194,0,B,171800,200
93000100,466197,0,B,171800,200
93000100,466201,0,B,171800,100
93000100,466231,0,B,171800,100
93000100,466233,0,B,171800,100
93000100,466237,0,B,171800,100
93000100,466239,0,B,171800,500
93000100,466874,0,S,206500,1296
93000100,466970,0,B,171400,100
93000100,467109,0,B,171400,100
93000110,469964,0,S,175600,600
93000110,472087,0,S,172800,2000
93000130,480928,0,B,171800,100
93000130,480992,0,B,171800,100
93000130,480996,0,B,171800,100
93000130,480999,0,B,171800,300
93000130,481001,0,B,171800,200
93000140,482229,0,B,168000,500
93000140,482336,0,S,170700,800
93000150,485521,0,S,170100,300
93000150,488013,0,B,162200,1200
93000170,493018,0,S,180000,4300
93000180,495452,0,B,171100,1000
93000180,496085,0,S,169100,200
93000180,496890,0,B,165800,300
93000190,499156,0,B,171800,800
93000190,499165,0,B,171800,700
93000190,501114,0,B,171900,200
93000190,501122,0,B,167100,1300
93000200,502852,0,B,171800,300
93000200,503159,0,S,172900,100
93000200,503277,0,S,171400,300
93000210,504796,0,S,171800,1000
93000210,505194,0,S,169600,200
93000210,505555,0,S,176800,700
93000220,507704,0,S,189700,500
93000220,507771,0,S,185700,600
93000220,508039,0,B,171800,100
93000230,510910,0,S,171800,100
93000240,513994,0,S,207100,1000
93000250,516387,0,B,171900,100
93000260,517400,0,S,171600,1000
93000260,518489,0,B,170800,100
93000270,519495,0,S,171200,100
93000270,520333,0,S,169800,200
93000280,520908,0,S,170700,2500
93000280,522604,0,S,182600,700
93000290,523173,0,S,206600,800
93000290,523451,0,S,169100,1900
93000300,526172,0,S,171000,500
93000310,527265,0,B,172100,100
93000310,527868,0,B,172100,100
93000320,529586,0,B,171800,700
93000320,529656,0,B,171800,300
93000320,529664,0,B,171800,200
93000330,532236,0,B,171800,500
93000340,533970,0,B,171800,100
93000340,534297,0,B,172000,100
93000340,534305,0,B,172000,100
93000340,534382,0,B,172000,100
93000340,535153,0,B,171800,500
93000350,535800,0,S,171900,1200
93000350,535801,0,S,171900,300
93000350,536977,0,B,171800,1000
93000350,537049,0,B,171800,300
93000360,537331,0,B,171800,400
93000360,537757,0,S,173000,200
93000370,538945,0,B,171800,200
93000400,543636,0,S,171800,100
93000430,547531,0,S,175000,600
93000440,548105,0,S,178600,1200
93000450,549819,0,B,171800,400
93000460,551058,0,S,172500,600
93000500,555894,0,S,170700,500
93000510,556662,0,B,167800,600
93000520,559767,0,B,170600,400
93000540,561088,0,B,171800,400
93000540,561768,0,S,207400,900
93000570,566103,0,B,167300,1000
93000590,568827,0,S,171800,300
93000620,572599,0,S,206000,500
93000630,573930,0,S,171700,1000
93000630,574066,0,B,171900,300
93000630,574213,0,S,171700,1000
93000640,575439,0,S,171700,300
93000640,575741,0,B,171400,100
93000640,576376,0,B,172000,300
93000690,583351,0,S,171800,400
93000720,586827,0,B,170300,400
93000730,588489,0,S,170000,100
93000740,589504,0,S,170000,2800
93000740,589576,0,B,172100,100
93000770,592198,0,S,175600,5000
93000850,601943,0,B,171900,200
93000860,603007,0,S,171600,27600
93000860,603119,0,S,204000,900
93000870,604089,0,B,172000,700
93000900,605862,0,B,172000,700
93000900,606519,0,B,172000,900
93000930,608870,0,B,171800,100
93000930,608920,0,S,171800,300
93000940,609503,0,B,172000,100
93000940,609531,0,B,172000,200
93000980,611873,0,B,172100,900
93000980,612240,0,B,171800,200
93000990,612498,0,B,172100,200
93001020,616700,0,B,172100,1400
93001040,619021,0,S,167500,100
93001060,621248,0,B,172000,1400
93001090,623928,0,B,170300,2000
93001110,625416,0,B,170500,100
93001120,625963,0,B,170500,100
93001160,628652,0,B,172000,8400
93001200,631319,0,B,171800,700
93001210,632368,0,S,170800,500
93001220,633429,0,B,166100,2000
93001250,635228,0,B,171500,100
93001250,635693,0,S,207400,1620
93001270,637124,0,B,170500,100
93001280,637872,0,S,172900,100
93001280,637907,0,B,172100,100
93001290,638112,0,S,171700,15000
93001290,638514,0,B,170500,100
93001300,639070,0,B,171800,700
93001320,640646,0,B,169200,1000
93001330,641485,0,S,171800,100
93001330,641503,0,B,171500,100
93001330,641505,0,B,171500,100
93001330,641508,0,B,171500,100
93001380,644902,0,B,172000,200
93001380,645141,0,B,170500,300
93001400,646383,0,B,171600,500
93001510,653801,0,S,175000,3400
93001520,654675,0,B,172100,1300
93001520,655127,0,S,190000,1200
93001540,656729,0,B,167000,3000
93001590,660745,0,B,172800,2100
93001630,664017,0,B,171400,100
93001640,664953,0,S,170000,12200
93001660,666338,0,B,171700,400
93001670,666635,0,B,171700,1300
93001680,667241,0,B,165200,2000
93001680,667526,0,B,171700,200
93001680,667562,0,S,171300,500
93001680,667579,0,B,171600,300
93001680,667583,0,B,171600,100
93001680,667585,0,B,171600,100
93001680,667591,0,B,171600,100
93001680,667593,0,B,171600,100
93001680,667597,0,B,171600,100
93001680,667599,0,B,171600,100
93001680,667602,0,B,171600,400
93001680,667606,0,B,171600,200
93001680,667615,0,B,171600,200
93001680,667618,0,B,171600,300
93001680,667623,0,B,171600,200
93001680,667647,0,B,171600,100
93001680,667664,0,B,171700,300
93001680,667672,0,B,171600,100
93001680,667700,0,B,171600,200
93001680,667703,0,B,171600,200
93001680,667758,0,B,171700,100
93001680,667765,0,B,171600,100
93001680,667773,0,B,171600,100
93001680,667775,0,B,171600,400
93001680,667777,0,B,171600,700
93001680,667784,0,B,171600,100
93001680,667787,0,B,171600,100
93001680,667789,0,B,171600,200
93001680,667791,0,B,171600,100
93001680,667793,0,B,171600,100
93001680,667795,0,B,171600,200
93001680,667800,0,B,171600,700
93001680,667802,0,B,171600,100
93001680,667804,0,B,171600,200
93001680,667806,0,B,171600,600
93001680,667808,0,B,171600,1400
93001680,667810,0,B,171600,700
93001680,667813,0,B,171600,100
93001680,667814,0,B,171600,100
93001680,667816,0,B,171600,400
93001680,667817,0,B,171600,300
