时间,交易所委托号,委托类型,委托代码,委托价格,委托数量
91500070,295,A,B,404000,200
91500490,1464,A,S,407900,800
91501440,3137,A,S,433500,3000
91501440,3208,A,S,436500,3000
91501440,3621,A,S,438500,2000
91501440,3623,A,S,443500,3000
91501440,3641,A,S,446500,3000
91501440,3655,A,B,383500,6000
91501740,8869,A,S,410000,400
91502650,20972,A,S,484800,500
91502650,21006,A,B,323200,630
91503190,29593,A,S,444400,12249
91503320,30275,A,S,435800,200
91503730,36177,A,B,396400,200
91503790,37342,A,S,482900,250
91504080,39231,A,B,404000,300
91505050,44923,A,B,323300,501
91505290,47203,A,B,334400,200
91505440,48225,A,B,366100,235
91505780,52014,A,B,391200,200
91506450,56711,A,S,464800,1000
91506450,56712,A,S,473800,1500
91506450,56713,A,S,484800,1500
91506530,57714,A,S,420000,3000
91506530,58342,A,B,381000,2000
91506590,58733,A,S,459300,2073
91506810,61238,A,B,376100,550
91506810,61243,A,S,455000,750
91506810,61247,A,S,475000,500
91507190,66513,A,S,484800,600
91507360,68191,A,S,405700,200
91507360,69521,A,S,397400,1000
91507480,70357,A,B,393000,3469
91507480,71106,A,B,388700,600
91508080,77875,A,B,392100,200
91508080,78251,A,B,390000,300
91508080,78252,A,B,385000,300
91508080,78937,A,S,414900,200
91508230,80421,A,B,386600,200
91508230,80422,A,S,414600,200
91508230,80423,A,S,429100,200
91508230,80424,A,S,444200,200
91508230,80448,A,S,459700,200
91508230,80451,A,S,475800,200
91508230,80692,A,S,459000,11000
91508230,80693,A,S,435000,3666
91508230,80758,A,B,370100,448
91508340,83006,A,B,404000,400
91508880,88307,A,B,360100,1000
91509130,91243,A,S,433800,1000
91509490,95604,A,S,418800,200
91509490,95871,A,S,455000,300
91509640,97050,A,S,412000,500
91509850,99249,A,S,450000,300
91509850,100516,A,S,416000,600
91509850,100517,A,S,423000,800
91509850,100520,A,S,429000,600
91510000,101254,A,S,408300,400
91510320,105513,A,B,395000,1200
91510320,105625,A,B,390000,1400
91510830,110569,A,S,420000,250
91510830,110882,A,B,380300,2000
91511150,114255,A,B,390200,500
91511470,118460,A,B,380000,2700
91511840,122796,A,S,430000,300
91512000,125692,A,B,380100,1590
91512150,126432,A,S,412800,200
91512290,128280,A,S,448900,3000
91512590,131140,A,S,412800,200
91512680,132642,A,S,408900,500
91512680,133320,A,B,396600,200
91512970,136073,A,S,408400,200
91513110,137109,A,B,382800,200
91513110,138291,A,S,430000,200
91513110,138505,A,S,484000,200
91513370,139534,A,S,484800,2000
91550990,150137,A,B,396800,200
91558050,151072,A,S,420000,1000
91701380,156806,A,B,381800,200
91709530,157563,A,S,484800,2378
91735000,160075,A,S,484800,200
91738760,160478,A,B,450000,2000
91745390,161192,A,S,396800,800
91755290,160478,D,B,450000,2000
91811650,163866,A,B,393200,300
91812650,163978,A,S,450000,2000
91819150,101254,D,S,408300,400
91822150,164964,A,B,380000,1000
91832340,166064,A,S,407400,418
91832420,166070,A,S,420000,200
91845350,167412,A,B,395000,500
91848450,167757,A,B,392100,500
91849070,167819,A,B,386800,200
91853260,168262,A,B,390000,500
91853460,168277,A,B,390000,500
91858020,168814,A,B,381800,200
91918490,171113,A,B,397000,279
91940370,173726,A,S,430000,300
91944520,150137,D,B,396800,200
91945260,174344,A,B,397400,200
91959420,176091,A,B,397400,200
92001450,176402,A,S,480300,300
92001540,176409,A,S,323200,200
92002910,176683,A,B,412000,260
92010140,177796,A,B,398200,3418
92011900,178072,A,S,404000,300
92025170,179867,A,S,417700,1037
92026010,179982,A,B,391000,200
92040000,181832,A,B,399200,280
92040310,181866,A,B,396800,1200
92100090,184627,A,B,399000,1000
92131620,189133,A,S,408300,400
92142170,190735,A,S,404800,1000
92149340,191838,A,B,402100,400
92153600,192431,A,S,404900,500
92203270,193950,A,B,393900,200
92204230,194082,A,B,397100,500
92216570,195980,A,B,399000,200
92217620,196141,A,B,394300,1000
92223390,197023,A,S,419000,200
92225120,197273,A,B,385200,300
92227220,197593,A,B,397000,400
92229470,197950,A,S,439300,2422
92229620,197974,A,B,395100,400
92230940,198218,A,S,409000,200
92258510,202919,A,B,368000,300
92300580,203278,A,S,404000,419
92304060,203918,A,B,391000,200
92305610,204213,A,B,398100,500
92312310,205395,A,B,395000,200
92312740,205484,A,B,395000,500
92313480,205624,A,S,450000,200
92357610,214377,A,B,390500,800
92401970,215737,A,S,409800,500
92405730,216782,A,B,406900,400
92413320,218752,A,B,388800,500
92429620,223814,A,S,403500,200
92432060,224667,A,S,396000,200
92433040,225012,A,B,407200,9400
92435310,225932,A,B,407200,3600
92441350,228308,A,S,407000,400
92447900,230753,A,S,406200,1240
92449620,231476,A,S,407000,419
92450580,232314,A,B,411200,471
92454230,234619,A,B,404900,1000
92454320,234688,A,B,407200,3321
92455390,235490,A,S,387700,1600
92455770,235805,A,S,406900,200
92456850,237242,A,S,406600,500
92457080,237415,A,B,407700,2445
92457660,237961,A,B,407700,5342
92458570,238875,A,S,407100,900
92458570,238876,A,S,408800,900
92458760,239090,A,S,387700,400
92459560,240189,A,B,419800,200
92459590,240268,A,B,420300,382
92459590,240275,A,B,420700,1590
92459590,240277,A,B,420300,865
92459620,240334,A,B,419400,732
92459790,240756,A,B,414600,2600
92459930,241043,A,B,427500,600
92600000,0, , ,0,0
93000000,241200,A,B,404000,3600
93001010,243709,A,S,407700,500
93001320,245271,A,S,419500,1000
93001370,245646,A,S,407900,200
93001470,246224,A,S,424200,1000
93001550,246797,A,B,399100,400
93001690,247427,A,S,409900,300
93001690,247521,A,S,412800,569
93001880,250179,A,S,408600,800
93001880,250974,A,S,407700,300
93002050,252664,A,S,414800,500
93002190,254139,A,B,407100,1000
93002340,255098,A,B,407900,954
93002340,255241,A,S,417000,280
93002490,257602,A,S,409600,200
93002660,259977,A,S,407700,2046
93002790,241200,D,B,404000,3600
93002790,260900,A,S,419000,200
93002790,261196,A,S,408200,200
93002790,261283,A,S,408700,200
93002790,261496,A,S,409700,200
93002990,262073,A,S,407700,1400
93002990,216782,D,B,406900,400
93002990,263726,A,B,400000,2000
93003300,266942,A,S,407700,500
93003300,267089,A,S,410000,500
93003450,267538,A,S,407700,1000
93003590,269340,A,B,400100,200
93003590,238876,D,S,408800,900
93003590,269935,A,S,407200,600
93003590,269994,A,B,366000,200
93003740,271145,A,S,407700,1000
93003890,273495,A,S,407800,200
93004010,275652,A,S,414800,2000
93004010,275713,A,S,408700,1400
93004200,276761,A,S,407600,400
93004200,276772,A,S,407200,200
93004200,276785,A,S,407200,400
93004200,276801,A,S,407200,200
93004200,276804,A,S,407200,300
93004200,276816,A,S,407200,200
93004200,276826,A,S,407200,200
93004200,276833,A,S,407200,200
93004200,276838,A,S,407200,600
93004200,276844,A,S,407200,400
93004200,276845,A,S,407200,200
93004200,276898,A,S,407200,500
93004200,276914,A,S,407200,200
93004200,277141,A,S,407200,400
93004200,277342,A,S,407200,500
93004200,277343,A,S,407200,400
93004200,277412,A,S,407200,200
93004200,277419,A,S,407200,236
93004200,197950,D,S,439300,2422
93004200,277456,A,S,407700,200
93004200,277459,A,S,407200,202
93004200,277479,A,S,407200,200
93004200,110882,D,B,380300,2000
93004370,277926,A,S,407200,1800
93004370,277927,A,S,407200,1200
93004370,278249,A,S,407200,700
93004370,278257,A,S,407200,520
93004370,278398,A,S,407200,200
93004370,278487,A,S,407200,200
93004370,163978,D,S,450000,2000
93004530,280931,A,S,407200,392
93004530,281321,A,S,444400,11000
93004730,281902,A,S,410100,1000
93004730,281940,A,S,420100,1000
93004730,282005,A,S,430100,1000
93004730,282526,A,S,409000,500
93004730,282911,A,S,407200,200
93004730,282931,A,S,407200,200
93004880,283627,A,S,407200,400
93004880,283631,A,S,407200,200
93004880,283637,A,S,407200,400
93005030,285622,A,S,409700,2000
93005180,287352,A,S,407200,200
93005180,287409,A,S,407200,400
93005180,287699,A,S,407200,200
93005180,288437,A,S,417700,3600
93005330,289792,A,S,407200,122
93005470,290977,A,B,398300,200
93005470,291066,A,S,409700,1500
93005470,292088,A,S,409800,900
93005780,295140,A,S,407200,912
93005780,295648,A,S,408800,1100
93005780,295988,A,S,407700,450
93006140,298623,A,S,415800,1000
93006290,301041,A,S,420000,678
93006290,301232,A,S,407200,200
93006370,301500,A,S,409500,400
93006370,301748,A,S,409500,200
93006370,302161,A,B,350000,300
93006370,302589,A,S,450000,400
93006530,304539,A,S,409900,200
93006880,308168,A,S,484800,541
93007030,309651,A,S,433700,200
93007280,174344,D,B,397400,200
93007280,313119,A,S,409000,1681
93007780,317685,A,S,407700,2819
93007780,317686,A,S,407700,1581
93007780,318478,A,S,407200,312
93007780,318806,A,S,410000,10000
93007940,320035,A,S,407100,443
93007940,320046,A,S,407100,200
93007940,320069,A,S,407100,500
93007940,320075,A,S,407100,200
93007940,320076,A,S,407100,400
93007940,320482,A,S,407100,200
93007940,320641,A,S,407100,1000
93008090,321375,A,S,408300,1100
93008090,321763,A,S,407200,500
93008250,323523,A,S,437700,250
93008540,326970,A,S,408800,200
93008540,131140,D,S,412800,200
93008680,328711,A,S,407700,700
93008770,177796,D,B,398200,3418
93008930,331231,A,S,450000,300
93008930,331251,A,S,409000,800
93009080,334143,A,S,407100,1220
93009220,334391,A,S,407200,299
93009370,336914,A,S,408300,10412
93009370,295140,D,S,407200,912
93009370,337155,A,S,407100,311
93009540,337954,A,S,407900,911
93009540,338505,A,S,417700,1000
93009700,339664,A,S,407200,656
93009700,339859,A,S,408200,1000
93010020,343720,A,S,415800,613
93010020,344480,A,S,406900,1029
93010020,344483,A,S,406900,2066
93010250,346405,A,S,415000,200
93010410,347129,A,S,418800,250
93010410,287699,D,S,407200,200
93010410,287409,D,S,407200,400
93010410,348281,A,S,411500,9179
93010530,348533,A,S,406700,1000
93010530,348613,A,S,407100,200
93010530,349695,A,S,411700,500
93010820,352147,A,S,410800,200
93010990,355138,A,S,420800,200
93011160,287352,D,S,407200,200
93011300,357918,A,S,406900,200
93011300,358644,A,S,410600,400
93011450,359515,A,S,414000,500
93011550,361015,A,S,409900,8000
93011690,362354,A,S,407100,200
93011820,320482,D,S,407100,200
93011820,364000,A,S,407100,200
93011820,364349,A,S,407200,400
93011960,366011,A,S,412800,200
93012120,367087,A,S,432200,200
93012120,181866,D,B,396800,1200
93012120,234619,D,B,404900,800
93012290,369683,A,B,388800,5000
93012460,370078,A,S,407100,1000
93012460,371286,A,S,411400,2035
93012600,276826,D,S,407200,40
93012600,372088,A,S,404900,200
93012600,276844,D,S,407200,400
93012600,276833,D,S,407200,200
93012600,372092,A,S,404900,200
93012600,372104,A,S,404900,500
93012600,372105,A,S,404900,400
93012600,277459,D,S,407200,202
93012600,282911,D,S,407200,200
93012600,282931,D,S,407200,200
93012600,277412,D,S,407200,200
93012600,277419,D,S,407200,236
93012600,277479,D,S,407200,200
93012600,278398,D,S,407200,200
93012600,318478,D,S,407200,312
93012600,320641,D,S,407100,1000
93012600,337155,D,S,407100,311
93012760,373616,A,S,408700,200
93012760,373967,A,S,413800,200
93012760,278487,D,S,407200,200
93012760,374616,A,S,407100,500
